series,model,run_id,seed,fold,classic_f1,classic_accuracy,classic_precision,classic_recall,trans_f1,trans_accuracy,trans_precision,trans_recall,n_test
lemmatized,LinearSVM,s42_f0,42,0,0.936668011294877,0.9275830258302584,0.918512658227848,0.9555555555555556,0.9384116693679092,0.9298892988929889,0.9241819632881085,0.9530864197530864,2168
lemmatized,LinearSVM,s42_f1,42,1,0.9264173703256936,0.9155514536225196,0.9056603773584906,0.9481481481481482,0.9259259259259259,0.915089986155976,0.9062253743104807,0.9465020576131687,2167
lemmatized,LinearSVM,s42_f2,42,2,0.9307010475423044,0.9206275957544992,0.9116022099447514,0.9506172839506172,0.9393569393569393,0.9312413474850023,0.92914653784219,0.9497942386831276,2167
lemmatized,LinearSVM,s42_f3,42,3,0.930214115781126,0.9187817258883249,0.8974751338944147,0.965432098765432,0.931845356715823,0.9210890632210429,0.9034003091190108,0.9621399176954732,2167
lemmatized,LinearSVM,s42_f4,42,4,0.934242181234964,0.9243193354868482,0.91015625,0.9596375617792422,0.941747572815534,0.9335486848177204,0.9252782193958664,0.9588138385502472,2167
lemmatized,LinearSVM,s43_f0,43,0,0.9350441058540496,0.9252767527675276,0.91164972634871,0.959670781893004,0.9360675512665863,0.926660516605166,0.9150943396226415,0.9580246913580247,2168
lemmatized,LinearSVM,s43_f1,43,1,0.9354709418837676,0.925703737886479,0.91171875,0.9604938271604938,0.9379032258064516,0.9289340101522843,0.9193675889328063,0.9572016460905349,2167
lemmatized,LinearSVM,s43_f2,43,2,0.9222266087643112,0.9090909090909092,0.8861911987860395,0.9613168724279836,0.9295662554715479,0.9183202584217812,0.8998459167950693,0.9613168724279836,2167
lemmatized,LinearSVM,s43_f3,43,3,0.932258064516129,0.9224734656206738,0.9138339920948616,0.951440329218107,0.9378806333739342,0.9293954776188279,0.9254807692307693,0.9506172839506173,2167
lemmatized,LinearSVM,s43_f4,43,4,0.9339278475881636,0.9247808029533918,0.9193934557063048,0.9489291598023064,0.9358398038414385,0.9275496077526535,0.9286293592862936,0.943163097199341,2167
