series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
original,RandomForest,0.9308118081180812,0.9270248596631916,0.951440329218107,0.9390739236393176,0.959589168275189,,171.90498304367063,,,,
original,SVM,0.9229704797047972,0.915213946117274,0.9506172839506172,0.9325797335486476,0.943281990163184,,263.8679020404816,,,,
original,LinearSVM,0.9234317343173432,0.9139700078926598,0.9530864197530864,0.9331184528605962,0.9521929881379572,,1.1196260452270508,,,,
original,NeuralNet,0.9031365313653136,0.9142621599340478,0.9127572016460904,0.913509060955519,0.9362830826629358,,95.2064130306244,,,,
original,RandomForest,0.9206275957544992,0.9162011173184358,0.9448559670781892,0.9303079416531604,0.9424914410208528,,162.85421180725098,,,,
original,SVM,0.9090909090909092,0.89765625,0.945679012345679,0.9210420841683368,0.9280185531002524,,265.4223258495331,,,,
original,LinearSVM,0.9086294416243654,0.8932714617169374,0.9506172839506172,0.9210526315789472,0.9403625030259016,,1.054776906967163,,,,
original,NeuralNet,0.8924780802953391,0.8946945337620579,0.9160493827160494,0.9052460349735664,0.921865598091088,,91.96137309074402,,,,
original,RandomForest,0.9321642824180896,0.9362745098039216,0.94320987654321,0.939729397293973,0.9610648580419824,,165.0636110305786,,,,
original,SVM,0.9238578680203046,0.9186602870813396,0.9481481481481482,0.9331713244228432,0.9460412560085764,,261.84303307533264,,,,
original,LinearSVM,0.9229349330872172,0.915213946117274,0.9506172839506172,0.9325797335486476,0.9526991043330914,,1.059175968170166,,,,
original,NeuralNet,0.9072450392247348,0.9049520766773164,0.9325102880658436,0.9185245237130116,0.9516024310958952,,92.01699566841124,,,,
original,RandomForest,0.9215505306875864,0.9047250193648336,0.9613168724279836,0.9321628092577812,0.9580372272365736,,155.91783499717712,,,,
original,SVM,0.9178587909552376,0.8985395849346657,0.9621399176954732,0.9292527821939588,0.933998167168102,,263.40359115600586,,,,
original,LinearSVM,0.9164743885556068,0.8928571428571429,0.9670781893004116,0.928486764124852,0.9504145485354633,,1.03613018989563,,,,
original,NeuralNet,0.8966312874942317,0.8892380204241949,0.931687242798354,0.909967845659164,0.9378855863332988,,99.37280011177064,,,,
original,RandomForest,0.9358560221504384,0.9324215607401448,0.9546952224052718,0.9434269434269434,0.9555634595338404,,165.8817219734192,,,,
original,SVM,0.9266266728195662,0.9124315871774824,0.9612850082372324,0.9362214199759326,0.9513281564676536,,259.8084180355072,,,,
original,LinearSVM,0.9233964005537608,0.9062015503875968,0.9629324546952224,0.93370607028754,0.9597080061057512,,1.1647582054138184,,,,
original,NeuralNet,0.9021688970927548,0.8901869158878505,0.9415156507413508,0.9151321056845476,0.9412533212555168,,101.7227430343628,,,,
original,RandomForest,0.9317343173431736,0.9230769230769232,0.9580246913580248,0.9402261712439418,0.9535147832920946,,161.0152928829193,,,,
original,SVM,0.9215867158671588,0.9078844652615145,0.9572016460905348,0.9318910256410255,0.9416747632557356,,256.97823119163513,,,,
